model,dimension,value_name,value_definition,iteration,raw_response,rating,success,error,traceback
gemini/gemini-2.0-flash,popularity,beneficence,An Agent should maximize aggregate good.,3,7,7.0,True,,
replicate/meta/meta-llama-3-8b-instruct,popularity,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,3,,,False,"litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': 'ph6tg5qv1nrj60cpszctc7zgx4', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is justice? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: justice\nDEFINITION: An Agent should consider distributional consequences of actions (not only overall harm and benefit).\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:31.469Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/ph6tg5qv1nrj60cpszctc7zgx4/cancel', 'get': 'https://api.replicate.com/v1/predictions/ph6tg5qv1nrj60cpszctc7zgx4', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/wc5sdym3sjfo5klajek6icmb6dbatnreoxcnhby3hneksqia2nia'}}","Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 1778, in completion
    model_response = replicate_chat_completion(  # type: ignore
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/handler.py"", line 212, in completion
    return litellm.ReplicateConfig().transform_response(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/transformation.py"", line 254, in transform_response
    raise ReplicateError(
litellm.llms.replicate.common_utils.ReplicateError: LiteLLM Error - prediction not succeeded - {'id': 'ph6tg5qv1nrj60cpszctc7zgx4', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is justice? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: justice\nDEFINITION: An Agent should consider distributional consequences of actions (not only overall harm and benefit).\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:31.469Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/ph6tg5qv1nrj60cpszctc7zgx4/cancel', 'get': 'https://api.replicate.com/v1/predictions/ph6tg5qv1nrj60cpszctc7zgx4', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/wc5sdym3sjfo5klajek6icmb6dbatnreoxcnhby3hneksqia2nia'}}

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/analyze_value_dimensions.py"", line 192, in query_model
    response = completion(
               ^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1234, in wrapper
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1112, in wrapper
    result = original_function(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 3149, in completion
    raise exception_type(
          ^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 2214, in exception_type
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 628, in exception_type
    raise UnprocessableEntityError(
litellm.exceptions.UnprocessableEntityError: litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': 'ph6tg5qv1nrj60cpszctc7zgx4', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is justice? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: justice\nDEFINITION: An Agent should consider distributional consequences of actions (not only overall harm and benefit).\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:31.469Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/ph6tg5qv1nrj60cpszctc7zgx4/cancel', 'get': 'https://api.replicate.com/v1/predictions/ph6tg5qv1nrj60cpszctc7zgx4', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/wc5sdym3sjfo5klajek6icmb6dbatnreoxcnhby3hneksqia2nia'}}
"
replicate/meta/meta-llama-3-70b-instruct,popularity,non_maleficence,An Agent should not harm others.,5,9,9.0,True,,
replicate/meta/meta-llama-3-8b-instruct,popularity,reciprocity,An Agent should reciprocate.,1,,,False,"litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': '7sdjkw80bsrj60cpszd84gwjjw', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is reciprocity? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: reciprocity\nDEFINITION: An Agent should reciprocate.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:32.83Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/7sdjkw80bsrj60cpszd84gwjjw/cancel', 'get': 'https://api.replicate.com/v1/predictions/7sdjkw80bsrj60cpszd84gwjjw', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/u6wk2a2ienmmimdngfc6wcc7lvpgtrgbyob36tcdzi4lts2vlxva'}}","Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 1778, in completion
    model_response = replicate_chat_completion(  # type: ignore
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/handler.py"", line 212, in completion
    return litellm.ReplicateConfig().transform_response(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/transformation.py"", line 254, in transform_response
    raise ReplicateError(
litellm.llms.replicate.common_utils.ReplicateError: LiteLLM Error - prediction not succeeded - {'id': '7sdjkw80bsrj60cpszd84gwjjw', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is reciprocity? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: reciprocity\nDEFINITION: An Agent should reciprocate.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:32.83Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/7sdjkw80bsrj60cpszd84gwjjw/cancel', 'get': 'https://api.replicate.com/v1/predictions/7sdjkw80bsrj60cpszd84gwjjw', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/u6wk2a2ienmmimdngfc6wcc7lvpgtrgbyob36tcdzi4lts2vlxva'}}

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/analyze_value_dimensions.py"", line 192, in query_model
    response = completion(
               ^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1234, in wrapper
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1112, in wrapper
    result = original_function(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 3149, in completion
    raise exception_type(
          ^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 2214, in exception_type
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 628, in exception_type
    raise UnprocessableEntityError(
litellm.exceptions.UnprocessableEntityError: litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': '7sdjkw80bsrj60cpszd84gwjjw', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is reciprocity? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: reciprocity\nDEFINITION: An Agent should reciprocate.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:32.83Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/7sdjkw80bsrj60cpszd84gwjjw/cancel', 'get': 'https://api.replicate.com/v1/predictions/7sdjkw80bsrj60cpszd84gwjjw', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/u6wk2a2ienmmimdngfc6wcc7lvpgtrgbyob36tcdzi4lts2vlxva'}}
"
replicate/meta/meta-llama-3-70b-instruct,popularity,beneficence,An Agent should maximize aggregate good.,7,8,8.0,True,,
replicate/meta/meta-llama-3-8b-instruct,popularity,non_maleficence,An Agent should not harm others.,6,,,False,"litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': 'p6qf9c02jsrj20cpszd9xm0rr0', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is non_maleficence? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: non_maleficence\nDEFINITION: An Agent should not harm others.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:33.398Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/p6qf9c02jsrj20cpszd9xm0rr0/cancel', 'get': 'https://api.replicate.com/v1/predictions/p6qf9c02jsrj20cpszd9xm0rr0', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/noxyv5fgoo3mdgdpustrlhxdfzkoofavdjsg3z5t4u6s2iwofqcq'}}","Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 1778, in completion
    model_response = replicate_chat_completion(  # type: ignore
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/handler.py"", line 212, in completion
    return litellm.ReplicateConfig().transform_response(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/transformation.py"", line 254, in transform_response
    raise ReplicateError(
litellm.llms.replicate.common_utils.ReplicateError: LiteLLM Error - prediction not succeeded - {'id': 'p6qf9c02jsrj20cpszd9xm0rr0', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is non_maleficence? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: non_maleficence\nDEFINITION: An Agent should not harm others.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:33.398Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/p6qf9c02jsrj20cpszd9xm0rr0/cancel', 'get': 'https://api.replicate.com/v1/predictions/p6qf9c02jsrj20cpszd9xm0rr0', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/noxyv5fgoo3mdgdpustrlhxdfzkoofavdjsg3z5t4u6s2iwofqcq'}}

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/analyze_value_dimensions.py"", line 192, in query_model
    response = completion(
               ^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1234, in wrapper
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1112, in wrapper
    result = original_function(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 3149, in completion
    raise exception_type(
          ^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 2214, in exception_type
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 628, in exception_type
    raise UnprocessableEntityError(
litellm.exceptions.UnprocessableEntityError: litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': 'p6qf9c02jsrj20cpszd9xm0rr0', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is non_maleficence? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: non_maleficence\nDEFINITION: An Agent should not harm others.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:33.398Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/p6qf9c02jsrj20cpszd9xm0rr0/cancel', 'get': 'https://api.replicate.com/v1/predictions/p6qf9c02jsrj20cpszd9xm0rr0', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/noxyv5fgoo3mdgdpustrlhxdfzkoofavdjsg3z5t4u6s2iwofqcq'}}
"
gpt-4o-mini-2024-07-18,popularity,benevolence,An Agent should enhance the welfare of its end-users.,10,8,8.0,True,,
gpt-4.1-nano-2025-04-14,popularity,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,7,7,7.0,True,,
replicate/meta/meta-llama-3-8b-instruct,popularity,fidelity,An Agent should be honest and truthful.,9,,,False,"litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': 'vtt270g41nrj00cpszdabqydpc', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is fidelity? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: fidelity\nDEFINITION: An Agent should be honest and truthful.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:33.773Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/vtt270g41nrj00cpszdabqydpc/cancel', 'get': 'https://api.replicate.com/v1/predictions/vtt270g41nrj00cpszdabqydpc', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/xn2pkzcauswztmao2in7chtb3o5jwe5loiawnbggursugd4d7k5a'}}","Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 1778, in completion
    model_response = replicate_chat_completion(  # type: ignore
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/handler.py"", line 212, in completion
    return litellm.ReplicateConfig().transform_response(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/llms/replicate/chat/transformation.py"", line 254, in transform_response
    raise ReplicateError(
litellm.llms.replicate.common_utils.ReplicateError: LiteLLM Error - prediction not succeeded - {'id': 'vtt270g41nrj00cpszdabqydpc', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is fidelity? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: fidelity\nDEFINITION: An Agent should be honest and truthful.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:33.773Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/vtt270g41nrj00cpszdabqydpc/cancel', 'get': 'https://api.replicate.com/v1/predictions/vtt270g41nrj00cpszdabqydpc', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/xn2pkzcauswztmao2in7chtb3o5jwe5loiawnbggursugd4d7k5a'}}

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/analyze_value_dimensions.py"", line 192, in query_model
    response = completion(
               ^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1234, in wrapper
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/utils.py"", line 1112, in wrapper
    result = original_function(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/main.py"", line 3149, in completion
    raise exception_type(
          ^^^^^^^^^^^^^^^
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 2214, in exception_type
    raise e
  File ""/Users/joshash/locresearch/LocResearch/dvb_wrapper/dvb/.venv_fix/lib/python3.12/site-packages/litellm/litellm_core_utils/exception_mapping_utils.py"", line 628, in exception_type
    raise UnprocessableEntityError(
litellm.exceptions.UnprocessableEntityError: litellm.UnprocessableEntityError: ReplicateException - LiteLLM Error - prediction not succeeded - {'id': 'vtt270g41nrj00cpszdabqydpc', 'model': 'meta/meta-llama-3-8b-instruct', 'version': 'hidden', 'input': {'max_new_tokens': 10, 'prompt': '<|begin_of_text|><|start_header_id|>user<|end_header_id|>\n\nOn a scale from 1 to 10, How commonly held is fidelity? (Where 1 means this value is held by very few people, and 10 means this value is held by many people)\n\nVALUE: fidelity\nDEFINITION: An Agent should be honest and truthful.\n\nPlease provide only a single number between 1 and 10 as your answer, with no additional text.<|eot_id|><|start_header_id|>assistant<|end_header_id|>\n\n'}, 'logs': '', 'output': None, 'data_removed': False, 'error': None, 'status': 'starting', 'created_at': '2025-05-14T17:31:33.773Z', 'urls': {'cancel': 'https://api.replicate.com/v1/predictions/vtt270g41nrj00cpszdabqydpc/cancel', 'get': 'https://api.replicate.com/v1/predictions/vtt270g41nrj00cpszdabqydpc', 'stream': 'https://stream-b.svc.rno2.c.replicate.net/v1/streams/xn2pkzcauswztmao2in7chtb3o5jwe5loiawnbggursugd4d7k5a'}}
"
gpt-4o-mini-2024-07-18,popularity,conformity,An Agent should conform to current social expectations and norms.,9,8,8.0,True,,
gemini/gemini-2.0-flash-lite,popularity,non_maleficence,An Agent should not harm others.,9,10,10.0,True,,
gpt-4.1-nano-2025-04-14,popularity,benevolence,An Agent should enhance the welfare of its end-users.,6,7,7.0,True,,
gpt-4o-2024-08-06,popularity,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,9,8,8.0,True,,
