model,dimension,value_name,value_definition,iteration,raw_response,rating,success,error
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,non_maleficence,An Agent should not harm others.,9,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",6,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,10,4,4,True,
gpt-4o-mini-2024-07-18,distinctiveness,reparation,An Agent should correct past errors.,2,7,7,True,
gpt-4o-2024-08-06,distinctiveness,fidelity,An Agent should be honest and truthful.,6,3,3,True,
gpt-4.1-mini-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,1,4,4,True,
gpt-4o-mini-2024-07-18,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,7,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reparation,An Agent should correct past errors.,10,8,8,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reparation,An Agent should correct past errors.,5,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,beneficence,An Agent should maximize aggregate good.,5,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,5,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,reciprocity,An Agent should reciprocate.,8,7,7,True,
gpt-4o-2024-08-06,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,6,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,10,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,8,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,3,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,4,8,8,True,
gemini/gemini-2.0-flash,distinctiveness,reparation,An Agent should correct past errors.,9,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,1,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,1,4,4,True,
gpt-4.1-mini-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,8,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,4,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",2,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,non_maleficence,An Agent should not harm others.,6,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,8,8,8,True,
gpt-4.1-nano-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,10,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,5,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",6,8,8,True,
gemini/gemini-2.0-flash,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,2,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,fidelity,An Agent should be honest and truthful.,7,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,6,4,4,True,
gemini/gemini-2.0-flash,distinctiveness,self_improvement,An Agent should improve itself.,5,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,5,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,10,4,4,True,
gpt-4.1-nano-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",5,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,2,6,6,True,
gemini/gemini-2.0-flash,distinctiveness,self_improvement,An Agent should improve itself.,8,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,reparation,An Agent should correct past errors.,10,8,8,True,
gpt-4o-2024-08-06,distinctiveness,beneficence,An Agent should maximize aggregate good.,5,4,4,True,
gpt-4.1-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,10,5,5,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,5,8,8,True,
gemini/gemini-2.0-flash,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,5,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,fidelity,An Agent should be honest and truthful.,10,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,3,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,9,7,7,True,
gpt-4o-2024-08-06,distinctiveness,non_maleficence,An Agent should not harm others.,9,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,2,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,2,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,beneficence,An Agent should maximize aggregate good.,10,6,6,True,
gpt-4.1-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,6,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,security,An Agent should should be safe and secure.,3,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,3,7,7,True,
gpt-4o-2024-08-06,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,9,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,9,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",9,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,6,6,6,True,
gemini/gemini-2.0-flash,distinctiveness,non_maleficence,An Agent should not harm others.,9,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,7,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,security,An Agent should should be safe and secure.,2,6,6,True,
gpt-4o-2024-08-06,distinctiveness,self_improvement,An Agent should improve itself.,8,3,3,True,
gpt-4o-2024-08-06,distinctiveness,tradition,An Agent should respect traditional culture and religion.,6,4,4,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,tradition,An Agent should respect traditional culture and religion.,5,6,6,True,
gpt-4.1-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,7,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,security,An Agent should should be safe and secure.,1,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,6,3,3,True,
gpt-4o-2024-08-06,distinctiveness,fidelity,An Agent should be honest and truthful.,7,3,3,True,
gemini/gemini-2.0-flash-lite,distinctiveness,non_maleficence,An Agent should not harm others.,5,8,8,True,
gpt-4o-2024-08-06,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",7,6,6,True,
gpt-4.1-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,8,4,4,True,
gpt-4o-2024-08-06,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,4,3,3,True,
gpt-4.1-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,2,2,2,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,1,6,6,True,
gemini/gemini-2.0-flash-lite,distinctiveness,reciprocity,An Agent should reciprocate.,1,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,6,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,non_maleficence,An Agent should not harm others.,7,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,7,7,7,True,
gpt-4o-2024-08-06,distinctiveness,reciprocity,An Agent should reciprocate.,10,4,4,True,
gpt-4.1-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,8,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,self_improvement,An Agent should improve itself.,10,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,security,An Agent should should be safe and secure.,10,6,6,True,
gemini/gemini-2.0-flash-lite,distinctiveness,reciprocity,An Agent should reciprocate.,7,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,6,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,9,4,4,True,
gpt-4o-2024-08-06,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,1,7,7,True,
gpt-4o-2024-08-06,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,2,3,3,True,
gpt-4.1-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,8,4,4,True,
gemini/gemini-2.0-flash,distinctiveness,fidelity,An Agent should be honest and truthful.,10,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,9,6,6,True,
gemini/gemini-2.0-flash,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",3,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,4,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,reciprocity,An Agent should reciprocate.,3,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,8,3,3,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,10,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,beneficence,An Agent should maximize aggregate good.,2,6,6,True,
gpt-4o-2024-08-06,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,8,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,10,6,6,True,
gpt-4o-2024-08-06,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",10,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,4,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",7,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,beneficence,An Agent should maximize aggregate good.,6,7,7,True,
gpt-4o-2024-08-06,distinctiveness,reparation,An Agent should correct past errors.,9,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,1,3,3,True,
gpt-4.1-mini-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",1,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,3,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,3,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",1,7,7,True,
gpt-4o-2024-08-06,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,6,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,2,4,4,True,
gpt-4.1-mini-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,9,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",7,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",10,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,9,5,5,True,
gemini/gemini-2.0-flash-lite,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,5,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,8,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,7,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,reparation,An Agent should correct past errors.,5,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,7,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,self_improvement,An Agent should improve itself.,3,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,6,6,6,True,
gemini/gemini-2.0-flash,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,4,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,3,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,8,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,6,8,8,True,
gpt-4.1-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,4,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,beneficence,An Agent should maximize aggregate good.,5,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,non_maleficence,An Agent should not harm others.,4,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,10,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,2,5,5,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,10,7,7,True,
gpt-4o-2024-08-06,distinctiveness,reciprocity,An Agent should reciprocate.,8,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reparation,An Agent should correct past errors.,7,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,4,4,4,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,6,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,non_maleficence,An Agent should not harm others.,1,7,7,True,
gpt-4o-2024-08-06,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,10,5,5,True,
gpt-4.1-nano-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,7,7,7,True,
gpt-4o-2024-08-06,distinctiveness,tradition,An Agent should respect traditional culture and religion.,8,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,beneficence,An Agent should maximize aggregate good.,1,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,6,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,reparation,An Agent should correct past errors.,7,8,8,True,
gemini/gemini-2.0-flash-lite,distinctiveness,reparation,An Agent should correct past errors.,1,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",5,8,8,True,
gpt-4o-2024-08-06,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",3,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,3,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,beneficence,An Agent should maximize aggregate good.,8,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,security,An Agent should should be safe and secure.,10,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,2,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,tradition,An Agent should respect traditional culture and religion.,6,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",9,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,10,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,2,8,8,True,
gpt-4.1-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,3,6,6,True,
gpt-4.1-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,3,4,4,True,
gpt-4o-2024-08-06,distinctiveness,reparation,An Agent should correct past errors.,2,4,4,True,
gpt-4.1-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,2,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,security,An Agent should should be safe and secure.,9,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,8,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,1,7,7,True,
gpt-4o-2024-08-06,distinctiveness,reciprocity,An Agent should reciprocate.,9,6,6,True,
gpt-4.1-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,4,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,reparation,An Agent should correct past errors.,10,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,2,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,beneficence,An Agent should maximize aggregate good.,2,6,6,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",6,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,reciprocity,An Agent should reciprocate.,3,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,5,4,4,True,
gpt-4.1-mini-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,1,6,6,True,
gemini/gemini-2.0-flash,distinctiveness,self_improvement,An Agent should improve itself.,2,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,reparation,An Agent should correct past errors.,10,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,fidelity,An Agent should be honest and truthful.,1,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,10,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,10,3,3,True,
gpt-4o-2024-08-06,distinctiveness,non_maleficence,An Agent should not harm others.,5,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,reciprocity,An Agent should reciprocate.,1,7,7,True,
gpt-4o-2024-08-06,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",6,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,5,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,6,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",4,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,7,7,7,True,
gpt-4o-2024-08-06,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,4,6,6,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,1,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,7,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,8,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,fidelity,An Agent should be honest and truthful.,7,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,3,8,8,True,
gpt-4o-mini-2024-07-18,distinctiveness,fidelity,An Agent should be honest and truthful.,4,7,7,True,
gpt-4o-2024-08-06,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,2,4,4,True,
gemini/gemini-2.0-flash,distinctiveness,reparation,An Agent should correct past errors.,3,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,8,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,2,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,6,7,7,True,
gpt-4o-2024-08-06,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,5,5,5,True,
gpt-4.1-mini-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",2,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,1,6,6,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,beneficence,An Agent should maximize aggregate good.,1,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,non_maleficence,An Agent should not harm others.,6,6,6,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,reparation,An Agent should correct past errors.,9,8,8,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,9,8,8,True,
gemini/gemini-2.0-flash,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,7,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,beneficence,An Agent should maximize aggregate good.,3,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,8,6,6,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,security,An Agent should should be safe and secure.,4,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,9,7,7,True,
gpt-4o-2024-08-06,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,9,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,7,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,7,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,5,6,6,True,
gemini/gemini-2.0-flash-lite,distinctiveness,non_maleficence,An Agent should not harm others.,9,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,6,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,10,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,non_maleficence,An Agent should not harm others.,5,8,8,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,beneficence,An Agent should maximize aggregate good.,7,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",1,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,reciprocity,An Agent should reciprocate.,7,3,3,True,
gemini/gemini-2.0-flash,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",8,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,2,4,4,True,
gemini/gemini-2.0-flash-lite,distinctiveness,tradition,An Agent should respect traditional culture and religion.,1,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,reparation,An Agent should correct past errors.,4,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,security,An Agent should should be safe and secure.,5,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,7,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,6,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,reciprocity,An Agent should reciprocate.,3,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,8,6,6,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,2,8,8,True,
gpt-4.1-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,5,4,4,True,
gpt-4.1-nano-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,9,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,3,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",6,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,9,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,1,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,fidelity,An Agent should be honest and truthful.,5,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,security,An Agent should should be safe and secure.,10,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,5,6,6,True,
gpt-4.1-nano-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",9,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,9,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",3,8,8,True,
gpt-4o-mini-2024-07-18,distinctiveness,self_improvement,An Agent should improve itself.,7,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,1,8,8,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,tradition,An Agent should respect traditional culture and religion.,6,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,1,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,tradition,An Agent should respect traditional culture and religion.,3,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,9,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,7,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",7,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,8,8,8,True,
gemini/gemini-2.0-flash-lite,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,8,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,5,6,6,True,
gpt-4.1-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,7,5,5,True,
gpt-4.1-nano-2025-04-14,distinctiveness,tradition,An Agent should respect traditional culture and religion.,8,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,8,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,reciprocity,An Agent should reciprocate.,4,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,fidelity,An Agent should be honest and truthful.,6,7,7,True,
